,created_at,id,full_text,url,retweet_count,favorite_count,name,datetime,EST,text_length
0,Sun Oct 23 17:31:42 +0000 2022,1584236131713191936,"Big Tech has been an earnings refuge for years, but safety is no longer a sure thing https://t.co/t5n6wsyzHt",https://trib.al/tpFdCTU,1,2,MarketWatch,2022-10-23 17:31:42+00:00,2022-10-23 13:31:42-04:00,108
1,Sun Oct 23 17:06:21 +0000 2022,1584229754957615104,"Earnings preview: Amid reports of production cutbacks on the iPhone 14 family of new smartphones, Wall Street will be watching to see how inflation has impacted spending on the pricey Apple devices and what executives think about the holiday season. https://t.co/6mKezpbVcx",https://trib.al/jhweqbO,1,5,MarketWatch,2022-10-23 17:06:21+00:00,2022-10-23 13:06:21-04:00,273
2,Sun Oct 23 16:39:29 +0000 2022,1584222992531591168,"What Liz Truss can teach every worker in America. Yes, really. https://t.co/i1Je3csnmY",https://trib.al/mSs7vvY,3,11,MarketWatch,2022-10-23 16:39:29+00:00,2022-10-23 12:39:29-04:00,86
3,Sun Oct 23 16:13:09 +0000 2022,1584216363429597185,"Wall Street is worried that consumer spending is going offline, and that Amazon's second Prime Day event this year is a sign that the online powerhouse is facing the same issues with clearing inventory that large retailers have disclosed. https://t.co/sk7iVDLEzE",https://trib.al/joB1Tpt,1,7,MarketWatch,2022-10-23 16:13:09+00:00,2022-10-23 12:13:09-04:00,262
4,Sun Oct 23 15:45:39 +0000 2022,1584209444413394945,"OPINION: As Snap stock heads toward its lowest prices since March 2020, the question is even more important, and answering “yes” should be even harder, writes columnist @tpoletti.
https://t.co/bCo2flrN1I",https://trib.al/ZMUFADK,1,8,MarketWatch,2022-10-23 15:45:39+00:00,2022-10-23 11:45:39-04:00,203
5,Sun Oct 23 15:20:34 +0000 2022,1584203133487497217,10 SUVs that are the most fun to drive https://t.co/tuOKXVwgmi,https://trib.al/MtoOKKy,1,3,MarketWatch,2022-10-23 15:20:34+00:00,2022-10-23 11:20:34-04:00,62
6,Sun Oct 23 14:53:37 +0000 2022,1584196350807138309,"Airbnb hosts are getting fed up with bad guests, red tape and corporate competitors https://t.co/A07LO3lZrj",https://trib.al/bt9JyfZ,6,19,MarketWatch,2022-10-23 14:53:37+00:00,2022-10-23 10:53:37-04:00,107
7,Sun Oct 23 14:28:17 +0000 2022,1584189973246668800,"OPINION: “When everyone’s crying, you better be buying.”

@mbrushstocks explains how to read these five sentiment indicators so that you can tell when “everyone’s crying.”

https://t.co/tY6WyX7IcP",https://trib.al/qoA1vMm,0,12,MarketWatch,2022-10-23 14:28:17+00:00,2022-10-23 10:28:17-04:00,196
8,Sun Oct 23 14:02:12 +0000 2022,1584183408745648128,"My father gifted his house to his four children, but I have little to no interest in using the house. The house requires repair and upkeep, which are very expensive. What can I do Moneyist— other than simply give my share away? https://t.co/Zexyft4bC4",https://trib.al/IfhpYTl,1,7,MarketWatch,2022-10-23 14:02:12+00:00,2022-10-23 10:02:12-04:00,251
9,Sun Oct 23 13:35:04 +0000 2022,1584176584226852864,"""My stepfather will leave me his $1 million home. How do I protect my inheritance from his two biological children?"" 

The Moneyist weighs in: https://t.co/fsemEtKqbW",https://trib.al/HUHSL7v,1,6,MarketWatch,2022-10-23 13:35:04+00:00,2022-10-23 09:35:04-04:00,166
10,Sun Oct 23 13:08:09 +0000 2022,1584169808366817280,Is recession talk worrying you? Here’s how near- and current retirees can prepare for their worst fears. https://t.co/8TnKlyiwGV,https://trib.al/PxR9vdK,3,8,MarketWatch,2022-10-23 13:08:09+00:00,2022-10-23 09:08:09-04:00,128
11,Sun Oct 23 12:41:03 +0000 2022,1584162989048926208,"""My stepfather will leave me his $1 million home. How do I protect my inheritance from his two biological children?"" 

The Moneyist weighs in: https://t.co/0mlIUh8pJq",https://trib.al/wbcv3dm,3,12,MarketWatch,2022-10-23 12:41:03+00:00,2022-10-23 08:41:03-04:00,166
12,Sun Oct 23 12:14:49 +0000 2022,1584156386623037440,"When my 21-year-old relative started working full-time his father made him put his paychecks into an account with both of their names, so my relative couldn’t withdraw the money unless his father agreed to it. What should my relative do, Moneyist? https://t.co/TXPPmRRvFt",https://trib.al/Dn7szvu,2,2,MarketWatch,2022-10-23 12:14:49+00:00,2022-10-23 08:14:49-04:00,271
13,Sun Oct 23 11:49:25 +0000 2022,1584149996768985088,"This fund carries a five-star rating (the highest) from investment-researcher Morningstar, and has outperformed its benchmark, the S&amp;P 500. Here’s its largest holding in stocks.

https://t.co/cJ5EopezYm",https://trib.al/HAItnMN,9,8,MarketWatch,2022-10-23 11:49:25+00:00,2022-10-23 07:49:25-04:00,206
14,Sun Oct 23 11:22:24 +0000 2022,1584143197223063552,This 401(k) bill in Congress is nuts https://t.co/4Ohoa1KgFK,https://trib.al/FYxeYNp,5,13,MarketWatch,2022-10-23 11:22:24+00:00,2022-10-23 07:22:24-04:00,60
15,Sun Oct 23 10:57:16 +0000 2022,1584136869993861121,"OPINION: The Federal Reserve has actually hit its 2% target over the past three months, columnist Rex Nutting writes as he examines what he thinks is the best indicator of inflation now and in the near future.

https://t.co/GNMBftpEeu",https://trib.al/gEqdaIc,3,7,MarketWatch,2022-10-23 10:57:16+00:00,2022-10-23 06:57:16-04:00,234
16,Sun Oct 23 10:31:44 +0000 2022,1584130446664691712,"Liz Truss should refuse the grant given to former prime ministers after announcing her resignation just 44 days into office, the leader of the opposition Labour Party said.

https://t.co/8x44dzsqf8",https://trib.al/FAvDz7P,4,16,MarketWatch,2022-10-23 10:31:44+00:00,2022-10-23 06:31:44-04:00,197
17,Sun Oct 23 10:05:26 +0000 2022,1584123827222507520,"""My brother pays my mother’s mortgage and co-owns her home. How can I ensure that my other sibling and I each inherit 1/3 share?"" 

The Moneyist has the advice: https://t.co/nL1CnY4ixE",https://trib.al/q0lW3B6,1,1,MarketWatch,2022-10-23 10:05:26+00:00,2022-10-23 06:05:26-04:00,184
18,Sun Oct 23 09:39:21 +0000 2022,1584117262747074561,"""We will not outlive our money. ...How can we give $10,000 to our nieces and nephews without offending the rest of the family?"" 

The Moneyist weights in: https://t.co/yvRmHcUgur",https://trib.al/RbeGUJc,3,5,MarketWatch,2022-10-23 09:39:21+00:00,2022-10-23 05:39:21-04:00,178
19,Sun Oct 23 09:13:53 +0000 2022,1584110851652734976,"'Is it ever OK for a man NOT to pay? I spend $600 a month dating.'

The Moneyist: ‘Thanks to Silicon Valley commodifying people’s romantic lives, the economics of scale no longer support the old-fashioned notion that men should always pick up the bill.’

https://t.co/k05hj1Gi6C",https://trib.al/hyuTevz,2,6,MarketWatch,2022-10-23 09:13:53+00:00,2022-10-23 05:13:53-04:00,278
20,Sun Oct 23 08:46:43 +0000 2022,1584104015725744128,"The U.S. Treasury Department's plan to start to begin buying back some of its older debt, if adopted, would mark a milestone in the roughly $22.6 trillion U.S. government debt market, the world’s largest. https://t.co/JdoZfUhFn4",https://trib.al/2GmcbyK,14,22,MarketWatch,2022-10-23 08:46:43+00:00,2022-10-23 04:46:43-04:00,228
21,Sun Oct 23 08:20:27 +0000 2022,1584097405431345152,"Dear Moneyist,
I'm 34 and have aggressively saved so I can retire by 40. What do I do if my girlfriend just likes to spend and doesn't have the same financial goals?
 https://t.co/fAXvoJny4x",https://trib.al/6LqqE6J,1,7,MarketWatch,2022-10-23 08:20:27+00:00,2022-10-23 04:20:27-04:00,190
